pmid,publication_year,title,pub_types,is_primary_research,species_mesh,chemicals,model_mesh,qualifiers,mesh_major
29185443,2017,A Feline HFpEF Model with Pulmonary Hypertension and Compromised Pulmonary Function,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",True,Cats,,"Disease Models, Animal","Hypertension, Pulmonary/blood; Hypertension, Pulmonary/pathology; Hypertension, Pulmonary/physiopathology; Hypertrophy, Left Ventricular/blood; Hypertrophy, Left Ventricular/pathology; Hypertrophy, Left Ventricular/physiopathology; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/pathology; Pulmonary Alveoli/blood supply; Pulmonary Alveoli/metabolism; Pulmonary Alveoli/pathology; Pulmonary Alveoli/physiopathology; Ventricular Dysfunction, Left/blood; Ventricular Dysfunction, Left/pathology; Ventricular Dysfunction, Left/physiopathology","Hypertension, Pulmonary; Hypertrophy, Left Ventricular; Pulmonary Alveoli; Ventricular Dysfunction, Left"
29289652,2017,Cellular mechanisms of metabolic syndrome-related atrial decompensation in a rat model of HFpEF,"Journal Article; Research Support, Non-U.S. Gov't",True,Rats,Angiotensin II (11128-99-7); Calcium (SY7Q814VUP),"Angiotensin II; Disease Models, Animal","Calcium/metabolism; Cell Nucleus/metabolism; Cytosol/metabolism; Heart Atria/physiopathology; Heart Failure/complications; Heart Failure/physiopathology; Heart Ventricles/physiopathology; Hypertension/complications; Hypertension/physiopathology; Metabolic Syndrome/complications; Metabolic Syndrome/physiopathology; Myocytes, Cardiac/metabolism; Sarcoplasmic Reticulum/metabolism",Heart Atria/physiopathology; Heart Failure/physiopathology; Metabolic Syndrome/physiopathology; Stroke Volume
29333506,2017,Murine Models of Heart Failure With Preserved Ejection Fraction,Journal Article,True,,,,,
29620605,2018,Captopril Attenuates Cardiovascular and Renal Disease in a Rat Model of Heart Failure With Preserved Ejection Fraction,"Comparative Study; Journal Article; Research Support, N.I.H., Extramural",True,"Rats, Zucker",Angiotensin-Converting Enzyme Inhibitors; Diuretics; Furosemide (7LXU5N7ZO5); Captopril (9G64RSX1XD),"Disease Models, Animal","Angiotensin-Converting Enzyme Inhibitors/pharmacology; Blood Pressure/drug effects; Captopril/pharmacology; Diuretics/pharmacology; Furosemide/pharmacology; Glomerular Filtration Rate/drug effects; Heart Failure/complications; Heart Failure/drug therapy; Heart Failure/physiopathology; Kidney/drug effects; Kidney/physiopathology; Metabolic Syndrome/complications; Metabolic Syndrome/drug therapy; Metabolic Syndrome/physiopathology; Renal Circulation/drug effects; Renal Insufficiency, Chronic/complications; Renal Insufficiency, Chronic/drug therapy; Renal Insufficiency, Chronic/physiopathology; Renin-Angiotensin System/drug effects; Stroke Volume/drug effects; Ventricular Function, Left/drug effects; Ventricular Pressure/drug effects","Angiotensin-Converting Enzyme Inhibitors/pharmacology; Captopril/pharmacology; Heart Failure/drug therapy; Kidney/drug effects; Metabolic Syndrome/drug therapy; Renal Insufficiency, Chronic/drug therapy; Stroke Volume/drug effects; Ventricular Function, Left/drug effects"
30004258,2018,Characterization of a mouse model of obesity-related fibrotic cardiomyopathy that recapitulates features of human heart failure with preserved ejection fraction,"Comparative Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",True,"Humans; Mice, Inbred C57BL; Mice, Obese",Extracellular Matrix Proteins,"Disease Models, Animal","Cardiomyopathies/etiology; Cardiomyopathies/metabolism; Cardiomyopathies/pathology; Cardiomyopathies/physiopathology; Extracellular Matrix/metabolism; Extracellular Matrix/pathology; Extracellular Matrix Proteins/metabolism; Fibroblasts/metabolism; Fibroblasts/pathology; Heart Failure/etiology; Heart Failure/metabolism; Heart Failure/pathology; Heart Failure/physiopathology; Heart Ventricles/metabolism; Heart Ventricles/pathology; Heart Ventricles/physiopathology; Hypertension/etiology; Hypertension/physiopathology; Hypertrophy, Left Ventricular/etiology; Hypertrophy, Left Ventricular/physiopathology; Myocardium/metabolism; Myocardium/pathology; Obesity/complications; Obesity/genetics; Obesity/physiopathology; Ventricular Dysfunction, Left/etiology; Ventricular Dysfunction, Left/physiopathology","Cardiomyopathies/etiology; Heart Failure/etiology; Heart Ventricles/physiopathology; Obesity/complications; Stroke Volume; Ventricular Function, Left; Ventricular Remodeling"
30031269,2018,Melatonin improves cardiac function in a mouse model of heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Mice; Mice, Inbred C57BL","Adipokines; Antioxidants; CORS26 protein, mouse; NF-E2-Related Factor 2; Nfe2l2 protein, mouse; Melatonin (JL5DK93RCL)","Diet, High-Fat; Disease Models, Animal","Adipokines/metabolism; Antioxidants/therapeutic use; Apoptosis/drug effects; Diet, High-Fat/adverse effects; Heart Failure/drug therapy; Heart Failure/etiology; Heart Failure/pathology; Melatonin/therapeutic use; Myocardium/metabolism; Myocardium/pathology; NF-E2-Related Factor 2/metabolism; Obesity/complications; Obesity/etiology; Oxidative Stress/drug effects; Stroke Volume/drug effects",Antioxidants/therapeutic use; Heart Failure/drug therapy; Heart Failure/etiology; Melatonin/therapeutic use; Oxidative Stress/drug effects
30193792,2018,Endothelial function is disturbed in a hypertensive diabetic animal model of HFpEF: Moderate continuous vs. high intensity interval training,Comparative Study; Journal Article,True,Rats,Vasoconstrictor Agents,,"Diabetes Mellitus, Experimental/diagnostic imaging; Diabetes Mellitus, Experimental/physiopathology; Diabetes Mellitus, Experimental/therapy; Endothelium, Vascular/diagnostic imaging; Endothelium, Vascular/drug effects; Endothelium, Vascular/physiology; Heart Failure/diagnostic imaging; Heart Failure/physiopathology; Heart Failure/therapy; High-Intensity Interval Training/methods; Hypertension/diagnostic imaging; Hypertension/physiopathology; Hypertension/therapy; Obesity/diagnostic imaging; Obesity/physiopathology; Obesity/therapy; Physical Conditioning, Animal/methods; Physical Conditioning, Animal/physiology; Stroke Volume/physiology; Vasoconstrictor Agents/pharmacology; Vasodilation/drug effects; Vasodilation/physiology","Diabetes Mellitus, Experimental/physiopathology; Endothelium, Vascular/physiology; Heart Failure/physiopathology; High-Intensity Interval Training/methods; Hypertension/physiopathology; Physical Conditioning, Animal/methods"
30239232,2018,Targeted HFpEF therapy based on matchmaking of human and animal models,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,Humans,,"Disease Models, Animal","Heart Failure/etiology; Heart Failure/physiopathology; Heart Failure/therapy; Translational Research, Biomedical/methods","Disease Models, Animal; Heart Failure/therapy; Stroke Volume; Translational Research, Biomedical/methods"
30398289,2018,Low‐level transcutaneous vagus nerve stimulation attenuates cardiac remodelling in a rat model of heart failure with preserved ejection fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,"Rats, Inbred Dahl; Rats, Sprague-Dawley","Sodium Chloride, Dietary","Sodium Chloride, Dietary","Heart Failure/physiopathology; Heart Ventricles/physiopathology; Hypertension/physiopathology; Sodium Chloride, Dietary/metabolism; Stroke Volume/physiology; Vagus Nerve/metabolism; Vagus Nerve/physiopathology; Ventricular Function, Left/physiology",Heart Failure/physiopathology; Hypertension/physiopathology; Vagus Nerve/physiopathology; Vagus Nerve Stimulation
30567709,2018,Metformin improves diastolic function in an HFpEF-like mouse model by increasing titin compliance,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,"Mice; Mice, Inbred C57BL","Desoxycorticosterone Acetate (6E0A168OB8); Metformin (9100L32L2N); Protein Kinases (EC 2.7.-); titin protein, mouse (EC 2.7.11.1)","Desoxycorticosterone Acetate; Disease Models, Animal",Desoxycorticosterone Acetate/pharmacology; Diastole/drug effects; Heart Failure/drug therapy; Heart Failure/metabolism; Heart Ventricles/drug effects; Heart Ventricles/metabolism; Metformin/pharmacology; Myocardium/metabolism; Phosphorylation/drug effects; Protein Kinases/metabolism; Stroke Volume/drug effects,Diastole/drug effects; Heart Failure/drug therapy; Metformin/pharmacology; Protein Kinases/metabolism
31019312,2019,New mouse model reveals nitrosative stress as a novel driver of HFpEF,Journal Article; Comment,False,Humans; Mice,,"Disease Models, Animal",,Heart Failure; Nitrosative Stress
31520455,2019,Disturbed cardiac mitochondrial and cytosolic calcium handling in a metabolic risk‐related rat model of heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Zucker",Calcium (SY7Q814VUP),"Disease Models, Animal","Calcium/metabolism; Cytosol/metabolism; Heart Failure/metabolism; Heart Failure/pathology; Metabolic Syndrome/metabolism; Metabolic Syndrome/pathology; Mitochondria, Heart/metabolism; Mitochondria, Heart/pathology; Obesity/metabolism","Calcium/metabolism; Cytosol/metabolism; Heart Failure/metabolism; Heart Failure/pathology; Mitochondria, Heart/metabolism"
31525070,2019,Arterial Remodeling and Dysfunction in the ZSF1 Rat Model of Heart Failure With Preserved Ejection Fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats, Inbred WKY",,,"Aorta/physiopathology; Heart Failure/physiopathology; Heart Ventricles/physiopathology; Hypertension/physiopathology; Obesity/complications; Stroke Volume/physiology; Vascular Remodeling/physiology; Ventricular Function, Left/physiology","Heart Failure/physiopathology; Heart Ventricles/physiopathology; Hypertension/physiopathology; Vascular Remodeling/physiology; Ventricular Function, Left/physiology"
31857581,2019,Heart failure with preserved ejection fraction: present status and future directions,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,Humans,Adrenergic beta-Antagonists,,Adrenergic beta-Antagonists/therapeutic use; Heart Failure/drug therapy; Heart Failure/metabolism; Renin-Angiotensin System/drug effects,Heart Failure/drug therapy
32183553,2020,The role of inflammation in driving left ventricular remodeling in a pre-HFpEF model,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",True,"Rats; Rats, Inbred F344",Cytokines; Troponin I,,"Cytokines/genetics; Cytokines/metabolism; Heart Failure/metabolism; Heart Failure/pathology; Heart Ventricles/metabolism; Heart Ventricles/pathology; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/pathology; Troponin I/genetics; Troponin I/metabolism",Cytokines/metabolism; Heart Failure/metabolism; Heart Ventricles/metabolism; Ventricular Remodeling
32202936,2020,Research Priorities for Heart Failure With Preserved Ejection Fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",False,Humans,,,Heart Failure/epidemiology; Research/standards,Heart Failure/epidemiology; Research/standards
32343958,2020,Mouse Models of Heart Failure with Preserved or Reduced Ejection Fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",False,Mice,,"Disease Models, Animal","Heart Failure/physiopathology; Stroke Volume/physiology; Ventricular Dysfunction, Left/physiopathology","Heart Failure/physiopathology; Stroke Volume/physiology; Ventricular Dysfunction, Left/physiopathology"
32417378,2020,"High-Choline Diet Exacerbates Cardiac Dysfunction, Fibrosis, and Inflammation in a Mouse Model of Heart Failure With Preserved Ejection Fraction",Journal Article,True,"Humans; Mice; Mice, Inbred C57BL",Choline (N91BDP6H0X),,Heart Failure/etiology,Heart Failure
32422321,2020,A directed network analysis of the cardiome identifies molecular pathways contributing to the development of HFpEF,"Journal Article; Research Support, Non-U.S. Gov't",True,Rats,,"Disease Models, Animal",Computational Biology/methods; Heart Failure/diagnosis; Heart Failure/etiology; Heart Failure/metabolism; Obesity/complications; Obesity/genetics; Obesity/metabolism; Stroke Volume/genetics; Ventricular Dysfunction/genetics; Ventricular Dysfunction/metabolism,Disease Susceptibility; Heart Failure/etiology; Heart Failure/metabolism; Stroke Volume
32710530,2020,ZSF1 Rat as Animal Model for HFpEF: Development of Reduced Diastolic Function and Skeletal Muscle Dysfunction,"Journal Article; Research Support, Non-U.S. Gov't",True,Rats,,"Disease Models, Animal",,Heart Failure
32871009,2020,The effects of liraglutide and dapagliflozin on cardiac function and structure in a multi-hit mouse model of heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Mice, Inbred C57BL; Mice","Benzhydryl Compounds; Blood Glucose; Glp1r protein, mouse; Glucagon-Like Peptide-1 Receptor; Glucosides; Incretins; Sodium-Glucose Transporter 2 Inhibitors; Angiotensin II (11128-99-7); dapagliflozin (1ULL0QJ8UC); Liraglutide (839I73S42A); Glucagon-Like Peptide-1 Receptor Agonists","Angiotensin II; Diet, High-Fat; Disease Models, Animal","Benzhydryl Compounds/pharmacology; Blood Glucose/drug effects; Blood Glucose/metabolism; Glucagon-Like Peptide-1 Receptor/metabolism; Glucosides/pharmacology; Heart Failure, Diastolic/drug therapy; Heart Failure, Diastolic/metabolism; Heart Failure, Diastolic/pathology; Heart Failure, Diastolic/physiopathology; Hypertrophy, Left Ventricular/drug therapy; Hypertrophy, Left Ventricular/metabolism; Hypertrophy, Left Ventricular/pathology; Hypertrophy, Left Ventricular/physiopathology; Incretins/pharmacology; Liraglutide/pharmacology; Myocardium/metabolism; Myocardium/pathology; Sodium-Glucose Transporter 2 Inhibitors/pharmacology; Ventricular Function, Left/drug effects; Ventricular Remodeling/drug effects","Benzhydryl Compounds/pharmacology; Glucosides/pharmacology; Heart Failure, Diastolic/drug therapy; Hypertrophy, Left Ventricular/drug therapy; Incretins/pharmacology; Liraglutide/pharmacology; Sodium-Glucose Transporter 2 Inhibitors/pharmacology; Ventricular Function, Left/drug effects; Ventricular Remodeling/drug effects"
32937823,2020,Oxidative Stress and Inflammatory Modulation of Ca2+ Handling in Metabolic HFpEF-Related Left Atrial Cardiomyopathy,Journal Article,True,,,,,
33080942,2020,Large Animal Models of Heart Failure: Reduced vs. Preserved Ejection Fraction,Journal Article; Review,False,,,,,
33176578,2020,Targeting Mitochondria-Inflammation Circuit by β-Hydroxybutyrate Mitigates HFpEF,"Journal Article; Research Support, Non-U.S. Gov't",True,"Humans; Mice; Mice, Inbred C57BL; Mice, Knockout; Rats","Anti-Inflammatory Agents; Cytokines; Fatty Acids; Inflammation Mediators; NLR Family, Pyrin Domain-Containing 3 Protein; Nlrp3 protein, mouse; Sirt3 protein, mouse; Acetyl Coenzyme A (72-89-9); Sirtuin 3 (EC 3.5.1.-); 3-Hydroxybutyric Acid (TZP1275679)","Disease Models, Animal","Acetyl Coenzyme A/metabolism; Anti-Inflammatory Agents/pharmacology; Cytokines/metabolism; Energy Metabolism/drug effects; Fatty Acids/metabolism; Heart Failure/drug therapy; Heart Failure/metabolism; Heart Failure/pathology; Heart Failure/physiopathology; Inflammation/drug therapy; Inflammation/metabolism; Inflammation/pathology; Inflammation/physiopathology; Inflammation Mediators/metabolism; Mitochondria, Heart/drug effects; Mitochondria, Heart/metabolism; Mitochondria, Heart/pathology; Myocytes, Cardiac/drug effects; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/pathology; NLR Family, Pyrin Domain-Containing 3 Protein/metabolism; Sirtuin 3/genetics; Sirtuin 3/metabolism; Stroke Volume/drug effects; Ventricular Function, Left/drug effects","Anti-Inflammatory Agents/pharmacology; Energy Metabolism/drug effects; Heart Failure/drug therapy; Inflammation/drug therapy; Inflammation Mediators/metabolism; Mitochondria, Heart/drug effects; Myocytes, Cardiac/drug effects"
33347612,2020,"Abnormal skeletal muscle blood flow, contractile mechanics and fibre morphology in a rat model of obese‐HFpEF","Journal Article; Research Support, Non-U.S. Gov't",True,Rats,,,,Heart Failure
33350094,2020,Muscular Changes in Animal Models of Heart Failure with Preserved Ejection Fraction: What Comes Closest to the Patient?,"Journal Article; Research Support, Non-U.S. Gov't",True,"Humans; Mice; Rats; Rats, Inbred Dahl",,"Disease Models, Animal",,Heart Failure
33413413,2021,Dual SGLT-1 and SGLT-2 inhibition improves left atrial dysfunction in HFpEF,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats, Inbred WKY; Rats, Zucker; Rats","Glycosides; Reactive Oxygen Species; Slc5a1 protein, rat; Slc5a2 protein, rat; Sodium-Calcium Exchanger; Sodium-Glucose Transporter 1; Sodium-Glucose Transporter 2; Sodium-Glucose Transporter 2 Inhibitors; (2S,3R,4R,5S,6R)-2-(4-chloro-3-(4-ethoxybenzyl)phenyl)-6-(methylthio)tetrahydro-2H-pyran-3,4,5-triol (6B4ZBS263Y)","Disease Models, Animal","Arrhythmias, Cardiac/etiology; Arrhythmias, Cardiac/metabolism; Arrhythmias, Cardiac/physiopathology; Arrhythmias, Cardiac/prevention & control; Atrial Function, Left/drug effects; Atrial Remodeling/drug effects; Calcium Signaling/drug effects; Glycosides/pharmacology; Heart Atria/drug effects; Heart Atria/metabolism; Heart Atria/physiopathology; Heart Failure/drug therapy; Heart Failure/etiology; Heart Failure/metabolism; Heart Failure/physiopathology; Metabolic Syndrome/complications; Mitochondria, Heart/drug effects; Mitochondria, Heart/metabolism; Mitochondria, Heart/pathology; Mitochondrial Dynamics/drug effects; Mitochondrial Swelling/drug effects; Reactive Oxygen Species/metabolism; Sodium-Calcium Exchanger/metabolism; Sodium-Glucose Transporter 1/antagonists & inhibitors; Sodium-Glucose Transporter 1/metabolism; Sodium-Glucose Transporter 2/metabolism; Sodium-Glucose Transporter 2 Inhibitors/pharmacology","Arrhythmias, Cardiac/prevention & control; Atrial Function, Left/drug effects; Atrial Remodeling/drug effects; Glycosides/pharmacology; Heart Atria/drug effects; Heart Failure/drug therapy; Sodium-Glucose Transporter 1/antagonists & inhibitors; Sodium-Glucose Transporter 2/metabolism; Sodium-Glucose Transporter 2 Inhibitors/pharmacology"
33432192,2021,Cellular and molecular pathobiology of heart failure with preserved ejection fraction,Journal Article; Review,False,Humans,,,Heart Failure/physiopathology,Heart Failure/physiopathology
33509397,2021,Etiology-Dependent Impairment of Diastolic Cardiomyocyte Calcium Homeostasis in Heart Failure With Preserved Ejection Fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,Humans,Calcium (SY7Q814VUP),,"Calcium/metabolism; Heart Failure, Diastolic/diagnostic imaging; Heart Failure, Diastolic/etiology; Heart Failure, Diastolic/metabolism; Heart Failure, Diastolic/pathology; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/pathology","Calcium/metabolism; Heart Failure, Diastolic/etiology; Myocytes, Cardiac/metabolism"
33568177,2021,"Electrocardiogram-less, free-breathing myocardial extracellular volume fraction mapping in small animals at high heart rates using motion-resolved cardiovascular magnetic resonance multitasking: a feasibility study in a heart failure with preserved ejection fraction rat model","Journal Article; Research Support, N.I.H., Extramural",True,"Rats, Inbred Dahl; Rats","Sodium Chloride, Dietary","Disease Models, Animal; Sodium Chloride, Dietary",Heart Failure/diagnostic imaging; Heart Failure/etiology; Heart Failure/physiopathology; Hypertension/etiology; Hypertension/physiopathology; Myocardium/pathology,"Cardiac-Gated Imaging Techniques; Heart Failure/diagnostic imaging; Heart Rate; Magnetic Resonance Imaging; Respiration; Stroke Volume; Ventricular Function, Left"
33808232,2021,Sacubitril/Valsartan Improves Diastolic Function But Not Skeletal Muscle Function in a Rat Model of HFpEF,Journal Article,True,"Rats, Mutant Strains; Rats","Aminobutyrates; Angiotensin Receptor Antagonists; Biphenyl Compounds; Connectin; Cyclic GMP (H2D2X058MU); Drug Combinations; Glycated Hemoglobin; Natriuretic Peptide, Brain (114471-18-0); Peptide Fragments; Valsartan (80M03YXJ7I); Ttn protein, rat; pro-brain natriuretic peptide (1-76); sacubitril and valsartan sodium hydrate drug combination (WB8FT61183)","Disease Models, Animal","Aminobutyrates/pharmacology; Angiotensin Receptor Antagonists/pharmacology; Biphenyl Compounds/pharmacology; Connectin/metabolism; Cyclic GMP/blood; Diastole/drug effects; Diastole/physiology; Glycated Hemoglobin/analysis; Heart Failure/drug therapy; Heart Failure/physiopathology; Muscle, Skeletal/drug effects; Muscle, Skeletal/physiology; Muscular Atrophy/drug therapy; Muscular Atrophy/physiopathology; Natriuretic Peptide, Brain/blood; Peptide Fragments/blood; Phosphorylation/drug effects; Valsartan/pharmacology; Ventricular Function, Left/drug effects","Aminobutyrates/pharmacology; Biphenyl Compounds/pharmacology; Heart Failure/drug therapy; Heart Failure/physiopathology; Muscle, Skeletal/drug effects; Valsartan/pharmacology"
34328815,2021,Chronic Sildenafil Therapy in the ZSF1 Obese Rat Model of Metabolic Syndrome and Heart Failure With Preserved Ejection Fraction,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Inbred WKY",Vasodilator Agents; Sildenafil Citrate (BW9B0ZE037),,Heart/drug effects; Heart Failure/complications; Heart Failure/drug therapy; Heart Failure/physiopathology; Metabolic Syndrome/complications; Metabolic Syndrome/drug therapy; Metabolic Syndrome/physiopathology; Sildenafil Citrate/pharmacology; Stroke Volume/drug effects; Vasodilator Agents/pharmacology,Heart Failure/drug therapy; Heart Failure/physiopathology; Metabolic Syndrome/drug therapy; Metabolic Syndrome/physiopathology; Sildenafil Citrate/pharmacology; Vasodilator Agents/pharmacology
34414416,2021,Heart failure with preserved ejection fraction in humans and mice: embracing clinical complexity in mouse models,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,Humans; Mice,Natriuretic Peptides,,,Heart Failure
34466752,2021,Molecular Signature of HFpEF,Journal Article,True,,,,,
34667218,2021,Arginine metabolism and nitric oxide turnover in the ZSF1 animal model for heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,Rats,Nitric Oxide (31C4KY9ESH); Arginine (94ZLA3W45F); Arginase (EC 3.5.3.1),"Disease Models, Animal","Arginase/metabolism; Arginine/metabolism; Heart/physiopathology; Heart Failure/metabolism; Heart Failure/physiopathology; Kidney/metabolism; Kidney/physiopathology; Metabolic Syndrome/metabolism; Metabolic Syndrome/physiopathology; Myocardium/metabolism; Nitric Oxide/metabolism; Obesity/metabolism; Obesity/physiopathology; Stroke Volume/physiology; Thinness/metabolism; Ventricular Function, Left/physiology",Arginine/metabolism; Heart Failure/metabolism; Heart Failure/physiopathology; Nitric Oxide/metabolism; Thinness/metabolism
34751846,2021,Large animal models of heart failure with preserved ejection fraction,Journal Article; Review,False,Cats; Cattle; Dogs; Humans; Sheep; Swine,,"Disease Models, Animal",,Heart Failure
34792407,2021,Skeletal myopathy in a rat model of postmenopausal heart failure with preserved ejection fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,"Humans; Rats; Rats, Inbred WKY",Hydrogen Peroxide (BBX060AN9V),,,Heart Failure; Muscular Diseases
34905696,2021,Mechanisms of Sinoatrial Node Dysfunction in Heart Failure With Preserved Ejection Fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",True,Humans; Rats,,,Heart Failure/physiopathology; Sinoatrial Node/abnormalities; Stroke Volume/physiology,Heart Failure/physiopathology; Sinoatrial Node/abnormalities; Stroke Volume/physiology
34998831,2022,Mitochondrial protein hyperacetylation underpins heart failure with preserved ejection fraction in mice,"Journal Article; Research Support, Non-U.S. Gov't",True,Humans; Mice,Mitochondrial Proteins; NAD (0U46U6E8UK),"Disease Models, Animal",,Heart Failure
35097026,2022,A Preclinical Rat Model of Heart Failure With Preserved Ejection Fraction With Multiple Comorbidities,Journal Article,True,,,,,
35301823,2022,Targeting MuRF1 by small molecules in a HFpEF rat model improves myocardial diastolic function and skeletal muscle contractility,"Journal Article; Research Support, Non-U.S. Gov't",True,"Mice; Mice, Knockout; Rats","Connectin; Muscle Proteins; Small Molecule Libraries; Tripartite Motif Proteins; Trim63 protein, mouse (EC 2.3.2.27); Trim63 protein, rat (EC 2.3.2.27); Ubiquitin-Protein Ligases (EC 2.3.2.27)",,"Connectin/metabolism; Diastole/drug effects; Heart Failure/drug therapy; Heart Failure/metabolism; Heart Failure/pathology; Muscle Proteins/antagonists & inhibitors; Muscle Proteins/metabolism; Muscle, Skeletal/drug effects; Muscle, Skeletal/metabolism; Muscular Atrophy/drug therapy; Muscular Atrophy/metabolism; Muscular Atrophy/pathology; Myocardium/pathology; Small Molecule Libraries/pharmacology; Stroke Volume/drug effects; Tripartite Motif Proteins/antagonists & inhibitors; Tripartite Motif Proteins/metabolism; Ubiquitin-Protein Ligases/antagonists & inhibitors; Ubiquitin-Protein Ligases/metabolism","Heart Failure; Muscle Proteins; Muscle, Skeletal; Small Molecule Libraries; Tripartite Motif Proteins; Ubiquitin-Protein Ligases"
35318042,2022,A ‘Swine Time’ for HFpEF: Multiple animal models for a myriad of clinical phenotypes,Letter,False,Swine,,"Disease Models, Animal",,Heart Failure
35408928,2022,Effect of Metformin on T2D-Induced MAM Ca2+ Uncoupling and Contractile Dysfunction in an Early Mouse Model of Diabetic HFpEF,Journal Article,True,Humans; Mice,Metformin (9100L32L2N),"Disease Models, Animal","Diabetes Mellitus, Type 2/complications; Diabetes Mellitus, Type 2/drug therapy; Diabetic Cardiomyopathies/drug therapy; Diabetic Cardiomyopathies/etiology; Heart Failure/complications; Heart Failure/etiology; Metformin/pharmacology; Metformin/therapeutic use","Diabetes Mellitus, Type 2; Diabetic Cardiomyopathies; Heart Failure; Metformin"
35476142,2022,Canagliflozin mitigates ferroptosis and ameliorates heart failure in rats with preserved ejection fraction,Journal Article,True,Rats,Canagliflozin (0SAC974Z85); Iron (E1UOL152H7),,Canagliflozin/pharmacology; Canagliflozin/therapeutic use; Heart Failure/drug therapy; Iron/metabolism,Ferroptosis; Heart Failure
35633883,2022,The Endothelial Dysfunction Could Be a Cause of Heart Failure with Preserved Ejection Fraction Development in a Rat Model,Journal Article,True,Humans; Rats,,,Aorta/metabolism; Heart Failure/metabolism,Heart Failure; Vascular Diseases
35679365,2022,Large and Small Animal Models of Heart Failure With Reduced Ejection Fraction,"Journal Article; Review; Research Support, Non-U.S. Gov't",False,Humans,,,,"Cardiomyopathies; Heart Failure; Ventricular Dysfunction, Left"
35904190,2022,"Genomic, Proteomic, and Metabolic Comparisons of Small Animal Models of Heart Failure With Preserved Ejection Fraction: A Tale of Mice, Rats, and Cats","Journal Article; Review; Research Support, Non-U.S. Gov't",False,Cats; Mice; Rats,,,"Heart Failure/drug therapy; Hypertrophy, Left Ventricular/genetics; Stroke Volume/physiology",Heart Failure
35960633,2022,A pacing-controlled protocol for frequency-diastolic relations distinguishes diastolic dysfunction specific to a mouse HFpEF model,"Journal Article; Research Support, Non-U.S. Gov't",True,Mice,Ivabradine (3H48L0LPZQ),,Diastole/physiology; Heart Failure/etiology; Stroke Volume/physiology,Heart Failure
36053749,2022,Sex-specific responses to slow progressive pressure overload in a large animal model of HFpEF,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural",True,Cats; Humans,,"Disease Models, Animal","Stroke Volume/physiology; Ventricular Function, Left/physiology",Heart Failure
36061340,2022,Clinical Phenotypes of Heart Failure With Preserved Ejection Fraction to Select Preclinical Animal Models,Journal Article; Review,False,,,,,
36229816,2022,Non-invasive assessment of HFpEF in mouse models: current gaps and future directions,"Letter; Research Support, Non-U.S. Gov't",False,Mice,Biomarkers; Blood Glucose; Oxygen (S88TT14065),,Heart Failure/diagnosis,"Heart Failure; Ventricular Function, Left"
36232292,2022,Empagliflozin Preserves Skeletal Muscle Function in a HFpEF Rat Model,Journal Article,True,Rats,Benzhydryl Compounds; Drinking Water; Glucosides; Lipids; Saponins; Sodium (9NEZ333N27); empagliflozin (HDC1R2M35U); Glucose (IY9XDZ35W2),"Disease Models, Animal","Glucose/metabolism; Heart Failure/metabolism; Lipids/pharmacology; Muscle, Skeletal/metabolism; Obesity/metabolism; Saponins/pharmacology; Sodium/metabolism; Stroke Volume/physiology",Drinking Water; Heart Failure; Saponins
